gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
Biomass_IGCC,Central,BioSolid,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,Central,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC_CCS,North,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC_CCS,South,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,Central,Solar,2020,-2.904287757291255e-15,0.0,0.0,-8.09662907162966e-15,-1.4617607262095808e-09,-2.7107514131816103e-10,596.6474441719603,0.040919952726159274
Central_PV,Central,Solar,2030,0.0,0.0,0.0,2.763559657320901e-16,-6.77110164696932e-11,-1.5665605738478234e-11,0.0,0.0
Central_PV,North,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,North,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,South,Solar,2020,-1.9989096913645508e-17,0.0,0.0,5.43274972319856e-17,1.4748720809720967e-11,2.728326910990317e-12,-874.3290302815341,-0.041973307979914054
Central_PV,South,Solar,2030,0.0,0.0,0.0,0.0,1.144598931166381e-12,2.4251794764358386e-13,0.0,0.0
Coal_IGCC,Central,Coal,2020,1.2087547908633909e-14,5.881510711191452e-11,9.179090481050064e-12,2.27094473023814e-15,5.180099561432293e-10,5.2546027546142176e-11,52.06772254873448,0.6071994458574809
Coal_IGCC,Central,Coal,2030,0.0,0.0,0.0,-8.787403183024261e-15,-2.0044355447496667e-09,-2.0332644981008855e-10,0.0,-0.0
