generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
C-Biomass_IGCC,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Biomass_IGCC,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Central_PV-1,C-Central_PV-1,Central_PV,Central,Solar,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Central_PV-1,C-Central_PV-1,Central_PV,Central,Solar,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Central_PV-2,C-Central_PV-2,Central_PV,Central,Solar,2020,-2.904287757291255e-15,0.0,0.0,-8.09662907162966e-15,-1.4617607262095808e-09,-2.7107514131816103e-10,596.6474441719603,0.040919952726159274
C-Central_PV-2,C-Central_PV-2,Central_PV,Central,Solar,2030,0.0,0.0,0.0,2.763559657320901e-16,-6.77110164696932e-11,-1.5665605738478234e-11,0.0,0.0
C-Coal_IGCC,C-Coal_IGCC,Coal_IGCC,Central,Coal,2020,1.2087547908633909e-14,5.881510711191452e-11,9.179090481050064e-12,2.27094473023814e-15,5.180099561432293e-10,5.2546027546142176e-11,52.06772254873448,0.6071994458574809
C-Coal_IGCC,C-Coal_IGCC,Coal_IGCC,Central,Coal,2030,0.0,0.0,0.0,-8.787403183024261e-15,-2.0044355447496667e-09,-2.0332644981008855e-10,0.0,-0.0
C-Coal_ST,C-Coal_ST,Coal_ST,Central,Coal,2020,14.832031392000001,53395.31301120001,13459.17856635648,2.0,411840.16728896805,42780.0,34.251240903803506,0.846
C-Commercial_PV,C-Commercial_PV,Commercial_PV,Central,Solar,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Commercial_PV,C-Commercial_PV,Commercial_PV,Central,Solar,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-NG_CC,C-NG_CC,NG_CC,Central,NaturalGas,2020,18.897122349806395,51598.21463369937,6722.978196160269,2.478242918274488,270729.64144487504,13981.778333848142,17.796870242302695,0.8698643329174831
